201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4109 Civil Engineering OS GEN-EWS Gender-Neutral 33263 37413
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4109 Civil Engineering OS GEN-EWS Female-only 50680 50680
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4109 Civil Engineering OS OPEN Gender-Neutral 23920 30698
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4109 Civil Engineering OS OPEN Female-only 33823 42756
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4109 Civil Engineering OS OPEN(PwD) Gender-Neutral 291838 291838
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4109 Civil Engineering OS SC Gender-Neutral 76706 109555
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4109 Civil Engineering OS SC Female-only 139616 139616
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4109 Civil Engineering OS ST Gender-Neutral 97993 107099
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4109 Civil Engineering OS ST Female-only 155978 155978
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering HS OBC-NCL Gender-Neutral 16139 37599
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering HS OBC-NCL Female-only 38133 48992
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering HS GEN-EWS Gender-Neutral 13246 26864
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering HS GEN-EWS Female-only 40911 40911
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering HS OPEN Gender-Neutral 8889 11096
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering HS OPEN Female-only 9851 14638
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering HS OPEN(PwD) Gender-Neutral 208750 208750
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering HS SC Gender-Neutral 27940 74533
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering HS SC Female-only 138479 138479
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering HS ST Gender-Neutral 106324 278942
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering HS ST Female-only 131403 131403
201 Dr. B R Ambedkar National Institute of Technology, Jalandhar 4110 Computer Science and Engineering OS OBC-NCL Gender-Neutral 10781 15624
